project_name,pull_total_mean,pull_opened_mean,pull_closed_mean,pull_merged_mean,commits_mean,stars_mean,forks_mean,languages_count,has_readme,has_contributing,has_wiki,has_project_board,has_issue_tracker,newcomers_mean,language,age,domain,owner
redis,19,7,9,5,61,246,68,7,1,1,0,1,1,1.429,C,8,System software,User
How-to-Make-a-Computer-Operating-System,3,2,3,3,15,346,59,6,1,0,0,1,1,0.0,C,4,Documentation,User
ijkplayer,3,1,3,1,48,314,90,7,1,0,1,1,1,1.5,C,4,Non-web libraries and frameworks,Organization
wrk,1,1,2,0,3,217,16,5,1,0,1,1,1,0.0,C,5,Software tools,User
the_silver_searcher,8,1,2,5,27,192,12,7,1,1,1,1,1,1.4,C,6,Software tools,User
emscripten,32,2,7,23,219,162,19,18,1,1,1,1,1,0.0,C,6,Software tools,User
The-Art-Of-Programming-By-July,12,1,3,14,97,253,104,15,0,0,1,1,1,0.0,C,4,Documentation,User
JSPatch,5,1,2,3,14,346,71,5,1,0,1,1,1,1.0,C,2,Non-web libraries and frameworks,User
vim,24,3,21,0,49,387,48,25,1,1,0,1,1,0.0,C,2,Software tools,Organization
jq,5,1,3,3,23,155,8,9,1,0,1,1,1,0.0,C,5,Software tools,User
toxcore,22,1,5,19,101,158,19,6,1,0,0,1,1,0.0,C,4,Software tools,User
Telegram,6,2,6,1,8,169,68,10,1,0,0,1,0,0.0,C,4,Application software,User
tmux,6,0,6,0,55,278,20,6,1,1,1,0,1,0.0,C,2,Application software,Organization
torch7,11,1,2,10,19,158,45,4,1,1,1,1,1,1.286,C,4,Non-web libraries and frameworks,Organization
twemproxy,3,1,2,2,10,105,19,6,1,0,1,1,1,0.0,C,5,Software tools,Organization
h2o,19,1,2,16,117,183,13,14,1,1,1,1,1,1.0,C,3,System software,Organization
masscan,2,1,1,3,13,135,22,3,1,0,1,1,1,0.0,C,4,Software tools,User
swoole-src,6,1,2,5,84,117,30,9,1,0,1,1,1,1.0,C,5,Non-web libraries and frameworks,Organization
disque,5,1,2,7,33,211,14,4,1,0,1,1,1,0.0,C,2,Non-web libraries and frameworks,User
TypeScript,126,8,17,106,489,665,97,7,1,1,1,1,1,1.444,TypeScript,3,Software tools,Organization
upterm,20,1,12,11,99,605,18,2,1,1,1,1,1,1.333,TypeScript,2,Software tools,Organization
ui-router,9,1,5,5,31,237,57,2,1,1,1,1,1,1.5,TypeScript,4,Web libraries and frameworks,Organization
NativeScript,56,1,5,51,130,360,28,5,1,1,1,1,1,1.0,TypeScript,2,Non-web libraries and frameworks,Organization
satellizer,8,2,3,7,75,207,33,2,1,0,0,1,1,0.0,TypeScript,3,Web libraries and frameworks,User
rxjs,50,5,26,22,80,262,25,4,1,1,1,1,1,1.273,TypeScript,2,Web libraries and frameworks,Organization
ng2-admin,35,2,30,7,36,456,149,5,1,0,1,1,1,1.333,TypeScript,1,Web libraries and frameworks,Organization
cyclejs,5,2,1,3,78,213,8,6,1,1,1,1,1,1.5,TypeScript,3,Web libraries and frameworks,Organization
blueprint,63,2,7,56,56,578,36,5,1,1,1,1,1,1.5,TypeScript,1,Web libraries and frameworks,Organization
Eve,12,1,2,12,200,230,9,3,1,0,0,1,1,1.0,TypeScript,4,Software tools,Organization
playground,2,2,1,3,23,304,53,4,1,1,1,1,1,0.0,TypeScript,1,Web libraries and frameworks,Organization
