project_name,pull_total_mean,pull_opened_mean,pull_closed_mean,pull_merged_mean,commits_mean,stars_mean,forks_mean,languages_count,has_readme,has_contributing,has_wiki,has_project_board,has_issue_tracker,newcomers_mean,language,age,domain,owner
linux,6,3,4,1,4653,615,215,16,1,0,0,1,0,18.53846153846154,C,6,System software,User
netdata,47,1,4,44,133,802,91,13,1,0,1,1,1,2.0,C,4,Software tools,Organization
git,5,3,4,1,325,171,90,17,1,0,0,0,0,1.7272727272727273,C,9,Software tools,Organization
php-src,39,3,30,8,469,169,57,19,1,1,0,0,0,3.076923076923077,C,6,System software,Organization
grpc,231,13,32,191,785,336,74,17,1,1,1,1,1,2.727272727272727,C,3,Non-web libraries and frameworks,Organization
FFmpeg,4,1,4,1,442,107,43,10,1,1,0,1,0,2.0714285714285716,C,6,Application software,Organization
libuv,23,2,15,7,48,200,37,9,1,1,1,1,1,1.6666666666666667,C,4,Software tools,Organization
obs-studio,19,5,9,10,102,150,35,9,0,0,1,1,0,2.5,C,4,Software tools,User
Arduino,14,2,6,7,46,84,57,13,1,1,1,1,1,1.6666666666666667,C,7,Non-web libraries and frameworks,Organization
nuklear,6,1,2,5,44,228,17,2,0,0,1,1,1,1.75,C,2,Non-web libraries and frameworks,User
memcached,3,1,4,1,12,65,19,9,1,1,1,1,1,3.0,C,8,System software,Organization
vscode,90,6,22,63,1045,1413,198,31,1,1,1,1,1,4.6923076923076925,TypeScript,2,Software tools,Organization
ionic,39,8,17,21,210,627,186,7,1,0,0,1,1,1.7142857142857142,TypeScript,4,Web libraries and frameworks,Organization
angular,195,18,114,76,233,757,187,6,1,1,0,1,1,4.785714285714286,TypeScript,3,Web libraries and frameworks,Organization
ant-design,62,1,10,51,324,604,165,5,1,0,1,0,1,5.2,TypeScript,2,Web libraries and frameworks,Organization
angular-cli,80,5,31,49,58,446,95,4,1,1,1,1,1,4.0,TypeScript,2,Software tools,Organization
DefinitelyTyped,271,57,45,223,576,204,168,2,1,0,1,1,1,47.8,TypeScript,5,Documentation,Organization
material2,136,12,24,106,109,519,120,5,1,1,1,1,1,2.5,TypeScript,1,Web libraries and frameworks,Organization
chromeless,24,9,4,15,153,2628,111,2,1,1,1,1,1,4.0,TypeScript,0,,Organization
google-api-nodejs-client,5,1,2,4,14,100,14,1,1,0,0,1,1,1.6,TypeScript,4,Non-web libraries and frameworks,Organization
Babylon.js,43,1,3,39,152,105,24,12,0,0,0,1,1,2.5,TypeScript,4,Web libraries and frameworks,Organization
angular-seed,25,0,6,19,64,144,52,5,1,0,1,1,1,1.5714285714285714,TypeScript,2,Web libraries and frameworks,User
postgraphql,14,2,3,10,37,220,10,6,1,1,1,1,1,2.0,TypeScript,1,Non-web libraries and frameworks,Organization
apollo-client,55,2,11,43,188,202,19,3,1,1,0,1,1,2.4,TypeScript,1,,Organization
RxJava,48,1,8,40,86,481,83,3,1,1,1,1,1,1.6363636363636365,Java,4,System software,Organization
elasticsearch,146,7,50,118,314,275,114,10,0,1,0,1,1,3.25,Java,7,Software tools,Organization
okhttp,26,1,5,22,44,381,88,4,1,0,1,0,1,2.0,Java,5,Web libraries and frameworks,Organization
guava,6,2,5,0,45,529,127,3,1,1,1,1,1,2.0,Java,3,Non-web libraries and frameworks,Organization
butterknife,6,1,2,5,15,332,66,5,1,0,0,1,1,2.0,Java,4,Non-web libraries and frameworks,User
kotlin,19,3,12,6,496,270,25,12,0,0,0,0,0,1.9230769230769231,Java,5,System software,Organization
spring-boot,37,3,35,1,238,315,258,11,0,0,1,0,1,2.5833333333333335,Java,5,Software tools,Organization
zxing,3,1,2,2,28,217,93,3,1,0,1,0,1,2.0,Java,6,Non-web libraries and frameworks,Organization
